pokefuta_id,prefecture,city,location,address,name,lat,lng,officialUrl
466,岩手県,金ケ崎町,西根伊勢分周辺,岩手県金ケ崎町西根伊勢分25番地7,アローライシツブテ・ワナイダー・メルタン,39.200006,141.112971,https://local.pokemon.jp/manhole/desc/466/
467,岩手県,盛岡市,本宮・蛇屋敷周辺,岩手県盛岡市本宮字蛇屋敷地内,イシツブテ・イワンコ・ルガルガン,39.694005,141.128421,https://local.pokemon.jp/manhole/desc/467/
318,秋田県,秋田市,土崎港西周辺,秋田県秋田市土崎港西1丁目9-1,ガーディ・イシツブテ・クワッス,39.752642,140.061295,https://local.pokemon.jp/manhole/desc/318/
319,秋田県,横手市,赤坂富ケ沢周辺,秋田県横手市赤坂富ケ沢62-46,ホゲータ・ヒメグマ,39.293561,140.545941,https://local.pokemon.jp/manhole/desc/319/
320,秋田県,男鹿市,船川港周辺,秋田県男鹿市船川港船川字新浜町1-19,オニゴーリ・ユキワラシ・ゴマゾウ,39.88201,139.84772,https://local.pokemon.jp/manhole/desc/320/
321,秋田県,鹿角市,花輪周辺,秋田県鹿角市花輪字新田町11-4,カビゴン・デスマス（ガラルのすがた）,40.181213,140.785474,https://local.pokemon.jp/manhole/desc/321/
322,秋田県,仙北市,田沢湖周辺,秋田県仙北市田沢湖潟字ヨテコ沢4,ハクリュー・チルタリス,39.699992,140.662631,https://local.pokemon.jp/manhole/desc/322/
399,山形県,山形市,双葉町周辺,山形県山形市双葉町1-2-38,チュリネ・ラフレシア・ドレディア,38.248477,140.325854,https://local.pokemon.jp/manhole/desc/399/
400,山形県,寒河江市,山西甲周辺,山形県寒河江市山西甲1269,チェリム・チェリンボ,38.363842,140.26637,https://local.pokemon.jp/manhole/desc/400/
401,山形県,大蔵村,南山周辺,山形県大蔵村南山451-2,ランプラー・ダルマッカ・テールナー,38.611083,140.169653,https://local.pokemon.jp/manhole/desc/401/
402,山形県,小国町,小国小坂町周辺,山形県小国町小国小坂町616,クマシュン・ツンベアー・オトスパス,38.072713,139.73128,https://local.pokemon.jp/manhole/desc/402/
403,山形県,鶴岡市,由良周辺,山形県鶴岡市由良2-14,ブルンゲル・メノクラゲ・ドククラゲ・オクタン,38.721151,139.684635,https://local.pokemon.jp/manhole/desc/403/
88,福島県,新地町,新地駅前,福島県新地町駅前1丁目3番地,ラッキー・オドシシ,37.878748,140.925027,https://local.pokemon.jp/manhole/desc/88/
89,福島県,相馬市,尾浜周辺,福島県相馬市尾浜字寺前111-1,ラッキー・ポニータ,37.827708,140.963244,https://local.pokemon.jp/manhole/desc/89/
90,福島県,南相馬市,原町区高見町周辺,福島県南相馬市原町区高見町2-30-1,ラッキー・ギャロップ,37.63577,140.983041,https://local.pokemon.jp/manhole/desc/90/
